Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
35148,2020-05-03T05:04:02+00:00,"@heydebigale @jerichobreeze I also had trouble getting past the first few episodes. The family was so annoying and unsympathetic in the beginning. But, how those characters developed, and the world they created, was just a joy to watch. Really a wholesome, sweet, fun, treasure of a show.",1256811732489719808,Dan Shaye 🐜 🇻🇪🇺🇸,1,0,3,0,Oak Park,,753,863,1,heydebigale jerichobreeze also trouble getting past first episodes family annoying unsympathetic beginning characters developed world created joy watch really wholesome sweet fun treasure show,heydebigal jerichobreez i also had troubl gett past the first few episode the family was so annoy and unsympathetic in the beginn but how thos character developed and the world they created was just a joy to watch really a wholesom sweet fun treasur of a show,[]
36362,2020-05-03T02:55:06+00:00,"Regardless of the epidemic situation, spring is at its best in Chicago town to bring joy to our hearts :) #Spring #Colors #StateStreet #Chicago #Downtown #ChicagoLoop #CityLife #PrettyTown #Weekend #Stroll #LongWalk… https://t.co/zS2mL1bOG6",1256779285353975808,Ahsan ツ,0,0,0,0,Chicago,"['Spring', 'Colors', 'StateStreet', 'Chicago', 'Downtown', 'ChicagoLoop', 'CityLife', 'PrettyTown', 'Weekend', 'Stroll', 'LongWalk']",456,547,1,regardless epidemic situation spring best chicago town bring joy hearts spring colors statestreet chicago downtown chicagoloop citylife prettytown weekend stroll longwalk…,regardles of the epidemic situation spr is at its best in chicago town to br joy to our heart spr color statestreet chicago downtown chicagoloop citylif prettytown weekend stroll longwalk…,[]
38448,2020-05-04T23:48:21+00:00,@crissles laughs be hella therapeutic. Like... it’s brings me joy that she feels joy,1257457063741063169,smoked paprika,0,0,0,0,Chicago,,171,448,1,crissles laughs hella therapeutic like ’ brings joy feels joy,crissle laugh be hella therapeutic lik it ’ s bring me joy that she feel joy,[]
39706,2020-05-04T21:53:03+00:00,Crying tears of joy because @_kenharv_ sent me a @megstalter cameo,1257428050695933953,Patty Cake,2,0,2,0,Chicago,,79,674,1,crying tears joy kenharv sent megstalter cameo,cry tear of joy becaus kenharv sent me a megstalter cameo,[]
40958,2020-05-04T20:00:30+00:00,@wojespn Pod with @JeffPassan and @AdamSchefter was a joy to listen to for 67 minutes. Don’t know how these guys found the time to have that much fun with each other. Awesome pod,1257399725101383680,Ray Lewis,0,0,0,0,Chicago,,578,891,1,wojespn pod jeffpassan adamschefter joy listen 67 minutes ’ know guys found time much fun awesome pod,wojespn pod with jeffpassan and adamschefter was a joy to listen to for 67 minute don ’ t know how thes guy found the tim to hav that much fun with each other awesom pod,[]
41186,2020-05-04T19:41:44+00:00,I cross-bred a purple tulip in ACNH today and that is what brings me joy for this new week 🙃,1257395001727877120,line + shade,0,0,3,0,Chicago,,62,337,1,crossbred purple tulip acnh today brings joy new week 🙃,i crossbred a purpl tulip in acnh today and that is what bring me joy for thi new week 🙃,['upside-down_face']
41388,2020-05-04T19:23:01+00:00,"@PhilCmusic @tommychap01 @neworder @slicingeyeballs #80sDance #90sDance #newwave #joydivision May 5th will be 3+ hours of New Order &amp; Joy Division videos  to ""cheer you up"" while the world is in lockdown

8:00 - 11:00ish

https://t.co/sVeAYRfsmB

https://t.co/3wse45O97C https://t.co/lOLqoRGRQr",1257390290618515459,Neo Nightclub,0,0,0,0,Debonair Social Club,"['80sDance', '90sDance', 'newwave', 'joydivision']",2250,833,1,philcmusic tommychap01 neworder slicingeyeballs 80sdance 90sdance newwave joydivision may 5th 3 hours new order amp joy division videos cheer world lockdown800 1100ish,philcmusic tommychap01 neworder slicingeyeball 80sdanc 90sdanc newwav joydivision may 5th will be 3 hour of new order amp joy division video to cheer you up whil the world is in lockdown800 1100ish,[]
42153,2020-05-04T18:17:04+00:00,@mazkeraide Tumblr really did take all of the joy out of that word.,1257373696790052864,Patty Cake,1,0,0,0,Chicago,,79,674,1,mazkeraide tumblr really take joy word,mazkeraid tumblr really did tak all of the joy out of that word,[]
44152,2020-05-04T15:28:32+00:00,"It was a bad time for me personally, but their stanley cup run brought me a lot of joy that I desperately needed. https://t.co/CkUYwGlkJn",1257331281840521221,RISPy Business,1,0,6,0,Chicago,,2318,1022,1,bad time personally stanley cup run brought lot joy desperately needed,it was a bad tim for me personally but their stanley cup run brought me a lot of joy that i desperately needed,[]
45145,2020-05-04T13:58:28+00:00,"Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because yo…
https://t.co/j4mwlW190A https://t.co/NuYWWsOq4p",1257308617214062593,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1,consider pure joy brothers sisters whenever face trials many kinds yo…,consider it pur joy my brother and sister whenever you fac trial of many kind becaus yo…,[]
