,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
333124,2020-08-25T14:26:39+00:00,"New set in style, way to create magic @Edina69486771!! You are amazing at creating impactful moments to drive sales and bring #Joy to our guests. #T2079 @laurcountryman @K2Virgilio @nikki_j1981 @tonypena. #WhoWhatWear #Prologue https://t.co/qCMKDcHTLB",1298265538754252800,Chad Feltrin - Visual Merchandiser/Designer,0,1,12,0,"[-87.68302068813584, 41.99078007613988]",Target,"['Joy', 'T2079', 'WhoWhatWear', 'Prologue']",369,571,1
333348,2020-08-25T14:04:52+00:00,"To my beautiful wife, I hope this year brings you as much joy and happiness that you have brought and continue to bring into my life. Happy birthday babe.@SelmaThd https://t.co/0S6eObKIj1",1298260055238651905,Mahir Ahmic,2,0,6,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,245,339,1
335205,2020-08-25T06:12:31+00:00,People be really in your life for a reason and I love the company I keep. I need my friends just as much as I need my husband and to know they have me like I got them gives me joy man.,1298141183731027968,Recie D🌟,0,0,0,0,"[-87.66956, 41.629776]","Riverdale, IL",0,386,876,1
335883,2020-08-25T04:26:31+00:00,"The joy of watching british tv is that nobody says ""general consensus"" and I know it's stupid as hell but I find it refreshing.",1298114508658016261,Nicholas,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,146,1221,1
337967,2020-08-25T02:04:05+00:00,"{𝐅𝐀𝐁 𝐆𝐈𝐕𝐄𝐀𝐖𝐀𝐘} @foxtrotmarket, your one-stop shop for all your daily essentials, is bringing joy into your every day with random acts of joy. Experience ‘Good Stuff Delivered’ IRL, delivery orders, and via their app… https://t.co/Kb82lMRPK1",1298078666027610114,Fab Food Chicago,0,0,1,0,"[-87.632496, 41.883222]","Chicago, IL",0,1559,695,1
338602,2020-08-25T01:31:06+00:00,@DanRather Katie Porter is a joy. 💜her and Kamela can run my world anytime!,1298070364036235272,Patty Davis,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,19,87,1
338965,2020-08-25T01:09:49+00:00,@FiercelyNormal Oh! All the dancers are so creative. It's a joy to watch.,1298065007226359808,bliss⁷ is seeing BTS!,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,205,254,1
343557,2020-08-26T19:29:08+00:00,"A pandemic sure makes you appreciate the simple joy of fresh draft beer. Beat this heat with a fresh #ladiesman on tap at thenorthmanriverwalk, chicagoinrecess, or a local watering hole near you.

#drinkupchicago… https://t.co/QuYaf0i2k2",1298704047478919175,Aleman Brewing,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL","['ladiesman', 'drinkupchicago']",1995,432,1
343767,2020-08-26T19:11:54+00:00,I am in ecstatic joy and love call it FREEDOM.,1298699713273892864,𓂀DEREKMONA,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,3011,1177,1
343824,2020-08-26T19:08:13+00:00,LIFE IS SO BEAUTIFUL I AM EXPERIENCING ECSTATIC JOY BC FUCK YES,1298698783451164672,𓂀DEREKMONA,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,3011,1177,1
344641,2020-08-26T18:00:41+00:00,"@Mythical @PopTartsUS Truly just absolutely love the 2 of you. The joy, the love, the laughs ugh truly a gift every day",1298681789020545026,aimee,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,3793,358,1
345328,2020-08-26T17:04:35+00:00,"@nlbmprez went to bed feeling the joy of #Giolito's no hitter, and the beauty of baseball. Woke up to the insanity of #Kenosha and the RNC. I felt like I needed a break.

Made a visit to see Rube.
#BaseballRay
#Sox
#BLM
#SouthSidePride
Hoping to visit the Museum this weekend. https://t.co/JV5ETG1gpo",1298667669017825281,Michael Heffernan,0,0,1,0,"[-87.778536, 41.650997]","Alsip, IL","['Giolito', 'Kenosha', 'BaseballRay', 'Sox', 'BLM', 'SouthSidePride']",224,1518,1
346477,2020-08-26T15:27:28+00:00,"Thank God it’s Wednesday. Ps.35:27 “Let them shout for joy and be glad, Who favor my righteous cause; And let them say continually, “Let the LORD be magnified, Who has pleasure in the prosperity of His servant.” Have a great and blessed day.",1298643231878586376,Adebayo Adewole,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,716,66,1
346742,2020-08-26T15:07:10+00:00,@djduncan95722 #Joy,1298638120469004288,"PureEsperanza, NFP",0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['Joy'],2787,2461,1
346763,2020-08-26T15:05:23+00:00,There’s nothing like the joy you bring.,1298637671758270466,⚡️💵JP💵⚡️,0,0,0,0,"[-87.898589, 41.870812]","Bellwood, IL",0,776,1367,1
346877,2020-08-26T14:54:53+00:00,"I heard it’s #NationalDogDay, which means I get to spam your newsfeed more!
This little fella has done nothing but fill us with laughter and joy, and was the final puzzle piece that my… https://t.co/uxekjOiGa5",1298635029262880769,Krysten,0,0,0,0,"[-87.6886, 42.0469]","Evanston, IL",['NationalDogDay'],435,798,1
351206,2020-08-26T02:51:04+00:00,"Can’t wait for movie night either cause 2020 sucks? Here’s a bit of joy 

@psychopompous @LucienGreaves @smileysatanist @AshleeElizabeth @Giger_77 @NedCline1 @JesikaVaylen @jesusweenus @gabrielalugosi @koresatanist @mikmilk98 @sarabeth8401 @SatanInMono 
https://t.co/W6dgeKJr2q",1298452878328242176,Crampus 🤶🏼✨THE REAL CHUBBS PECKERTON 👑,5,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",0,766,379,1
351932,2020-08-26T02:22:14+00:00,"You're not lost.. Wake up and find out that you always had the power to make of your life what you want! 
#lawofattraction #success #peace #loveyourself #joy #love #IAM https://t.co/juhEAQQu4y",1298445622236917760,Melanin 👑 King,0,2,0,0,"[-87.940033, 41.644102]","Chicago, IL","['lawofattraction', 'success', 'peace', 'loveyourself', 'joy', 'love', 'IAM']",1230,3501,1
352625,2020-08-26T01:43:13+00:00,"@hiking2colorado I quit my job of 13 years in June. Every day I wake up with joy that I can do whatever I want or do nothing. Reading, crocheting, cleaning out closets it’s amazing.",1298435800699482113,Leesa 💙💙,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,20360,22198,1
352813,2020-08-26T01:32:24+00:00,"“Spreading Maddie’s joy, one Smile Pack at a time.”  Thank you, @LaurenPettyNBC, for so beautifully sharing Maddie’s inspiration. https://t.co/8XMCVeoDiw",1298433078474543106,Scott Kramer,0,3,10,0,"[-87.940033, 41.644102]","Chicago, IL",0,193,110,1
354945,2020-08-27T23:06:07+00:00,Love making my friends laugh. It brings me so much joy.,1299121040732434433,brown butter bev,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,317,399,1
360548,2020-08-27T15:19:37+00:00,He brings so much joy to my life lmaoooo https://t.co/7y5PFWRQ6P,1299003641349779462,SVB 💕,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1527,1104,1
361299,2020-08-27T14:24:37+00:00,"I....just want us black people to be ok. I want us to live and know peace, and joy. I want us to be celebrated and not fetishized. I want our trauma to not be forgotten, but healed from. I’m praying for us, all of us.",1298989802746859520,"Gawdess, Riah",0,1,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,985,533,1
361603,2020-08-27T14:00:30+00:00,"More #Joy for Your #thursdayvibes!!!
🌈💜🌎💫

Thx Kari! ✨

#JoyTrain 
#PureEsperanza https://t.co/skXB9EOtdn",1298983732880130049,"PureEsperanza, NFP",0,2,5,0,"[-87.940033, 41.644102]","Chicago, IL","['Joy', 'thursdayvibes', 'JoyTrain', 'PureEsperanza']",2787,2461,1
