,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
73009,2021-11-08T16:04:05+00:00,"It was, without doubt, MORE FUN 💯 

The bonkers joy of CFB, its unique weirdness, is being slowly drained out to satisfy TV and a fathomless drive for more revenue. 

C’est la vie. But we can do better than this CFP. https://t.co/HxDGiR0J1O",1457740716604592134,Fifth Down College Football,2,3,7,1,"[-87.940033, 41.644102]","Chicago, IL",,1539,480,1,0.63
74172,2021-11-08T13:40:06+00:00,Y'all it's my birthday today!! And this is my pure joy 🥰🥰🥰 https://t.co/dcAnZJ83I6,1457704484298240004,"OM Ezeoke, MD",12,0,41,0,"[-87.940033, 41.644102]","Chicago, IL",,1368,1334,1,0.66
75573,2021-11-08T04:18:11+00:00,i get so much joy out of seeing people get deals on shark tank,1457563073800192005,✧ deandre ✧,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",,7769,1001,1,0.62
78947,2021-11-09T22:00:02+00:00,dude the holidays add more stress than joy imo why do people like this shit,1458192684968038402,cole,0,0,11,0,"[-87.940033, 41.644102]","Chicago, IL",,2614,1162,1,0.21
80317,2021-11-09T19:17:20+00:00,"32 days til the joy of #TBOX!!!!  TBOX2021, Festa’s 25th Annual 12 Bars of Xmas in Wrigleyville, Chicago, Saturday, December 11, https://t.co/wvwdv7wHTF ❤️💚 🍺🍺 #wrigleyville #chicagoevents https://t.co/z1R2rnRBNj",1458151740105187331,"TBOX Bar Crawls, Wrigleyville Chicago",0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL","['TBOX', 'wrigleyville', 'chicagoevents']",5024,486,1,0.72
80619,2021-11-09T18:44:28+00:00,@BorgheseAmira @cuomoallthetime I agree. Trying to decide how I'll decorate this year. We need joy!,1458143467712942081,Beverly Kelley,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,50,179,1,0.76
81559,2021-11-09T17:01:31+00:00,@goldengracekel1 shared this beautiful picture of my sis who lives out of state and just made my day. Hope she brings joy to yours as well. BOOP! https://t.co/lL194dONiq,1458117562135420931,Jeremy Ross,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,5956,3429,1,0.94
81869,2021-11-09T16:25:10+00:00,You heard the man! Spread the joy of @JeppsonsMalort! https://t.co/28Liqdc3s3,1458108411724316675,AO Chicago,2,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,2177,230,1,0.66
82962,2021-11-09T14:12:23+00:00,"Best thing I’ve read in a long time…please read all 4 parts, and cry with a little joy! https://t.co/JinlOP9jvH",1458074997403095042,Rich Puszczewicz,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,771,2910,1,0.71
83220,2021-11-09T13:42:40+00:00,@iamtycole She’s a joy,1458067517734334465,Brandon Pope TV,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,13150,5852,1,0.59
88013,2021-11-09T01:26:21+00:00,i have never met a friendlier crowd than at this jeremy zucker show. in between sets so many people have complimented my tattoos and asked me about my photography and i am currently just bursting with joy,1457882215841468425,lanz,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",,901,849,1,0.63
