,Char,Unicode,Neg,Neut,Pos,Sentiment score,Emot_Intensity
134,☝,0x261d,0.144,0.402,0.454,0.309,0.6545
135,😙,0x1f619,0.021,0.18,0.799,0.778,0.889
136,⛄,0x26c4,0.077,0.325,0.598,0.521,0.7605
137,👅,0x1f445,0.124,0.29,0.585,0.461,0.7305
138,♪,0x266a,0.083,0.301,0.617,0.534,0.767
139,🍂,0x1f342,0.036,0.38,0.583,0.547,0.7735000000000001
140,💏,0x1f48f,0.181,0.25,0.569,0.388,0.694
141,🔪,0x1f52a,0.21,0.511,0.28,0.07,0.535
142,🌴,0x1f334,0.077,0.32,0.602,0.525,0.7625
143,👈,0x1f448,0.085,0.407,0.508,0.424,0.712
144,🌹,0x1f339,0.023,0.354,0.623,0.6,0.8
145,🙆,0x1f646,0.092,0.316,0.592,0.5,0.75
146,➜,0x279c,0.052,0.734,0.214,0.162,0.581
147,👻,0x1f47b,0.17,0.433,0.398,0.228,0.614
148,💰,0x1f4b0,0.158,0.433,0.409,0.251,0.6255
149,🍻,0x1f37b,0.107,0.274,0.619,0.512,0.756
150,🙅,0x1f645,0.458,0.286,0.256,-0.202,0.601
151,🌞,0x1f31e,0.024,0.394,0.582,0.558,0.779
152,🍁,0x1f341,0.037,0.445,0.518,0.482,0.741
153,⭐,0x2b50,0.037,0.346,0.617,0.58,0.79
154,▪,0x25aa,0.099,0.605,0.296,0.198,0.599
155,🎀,0x1f380,0.044,0.283,0.673,0.629,0.8145
156,━,0x2501,0.094,0.635,0.27,0.176,0.588
157,☷,0x2637,0.019,0.898,0.083,0.064,0.532
158,🐷,0x1f437,0.077,0.477,0.445,0.368,0.6839999999999999
159,🙉,0x1f649,0.176,0.314,0.51,0.333,0.6665
160,🌺,0x1f33a,0.02,0.412,0.569,0.549,0.7745
161,💅,0x1f485,0.184,0.243,0.572,0.388,0.694
162,🐶,0x1f436,0.086,0.252,0.662,0.576,0.788
163,🌚,0x1f31a,0.159,0.219,0.623,0.464,0.732
164,👽,0x1f47d,0.094,0.497,0.409,0.315,0.6575
165,🎤,0x1f3a4,0.122,0.279,0.599,0.476,0.738
166,👭,0x1f46d,0.143,0.252,0.605,0.463,0.7315
167,🎧,0x1f3a7,0.131,0.324,0.545,0.414,0.707
168,👆,0x1f446,0.121,0.433,0.447,0.326,0.663
169,🍸,0x1f378,0.092,0.277,0.631,0.539,0.7695000000000001
170,🍷,0x1f377,0.057,0.493,0.45,0.393,0.6965
171,®,0xae,0.071,0.579,0.35,0.279,0.6395
172,🍉,0x1f349,0.079,0.245,0.676,0.597,0.7985
173,😇,0x1f607,0.072,0.268,0.659,0.587,0.7935
174,☑,0x2611,0.022,0.855,0.123,0.101,0.5505
175,🏃,0x1f3c3,0.094,0.406,0.5,0.406,0.7030000000000001
176,😿,0x1f63f,0.577,0.219,0.204,-0.372,0.6859999999999999
177,│,0x2502,0.007,0.642,0.35,0.343,0.6715
178,💣,0x1f4a3,0.306,0.381,0.313,0.007,0.5035
179,🍺,0x1f37a,0.067,0.373,0.56,0.493,0.7464999999999999
180,▶,0x25b6,0.06,0.672,0.269,0.209,0.6045
181,😲,0x1f632,0.386,0.295,0.318,-0.068,0.534
182,🎸,0x1f3b8,0.016,0.453,0.531,0.516,0.758
183,🍹,0x1f379,0.048,0.246,0.706,0.659,0.8295
184,💫,0x1f4ab,0.04,0.419,0.54,0.5,0.75
185,📚,0x1f4da,0.189,0.287,0.525,0.336,0.668
186,😶,0x1f636,0.425,0.292,0.283,-0.142,0.571
187,🌷,0x1f337,0.008,0.445,0.546,0.538,0.769
188,💝,0x1f49d,0.076,0.203,0.72,0.644,0.8220000000000001
189,💨,0x1f4a8,0.11,0.398,0.492,0.381,0.6905
190,🏈,0x1f3c8,0.068,0.333,0.598,0.53,0.765
191,💍,0x1f48d,0.148,0.226,0.626,0.478,0.739
192,☔,0x2614,0.193,0.325,0.482,0.289,0.6445
193,👸,0x1f478,0.061,0.272,0.667,0.605,0.8025
194,🇪,0x1f1ea,0.027,0.33,0.643,0.616,0.808
195,░,0x2591,0.234,0.577,0.189,-0.045,0.5225
196,🍩,0x1f369,0.145,0.327,0.527,0.382,0.6910000000000001
197,👾,0x1f47e,0.019,0.602,0.38,0.361,0.6805
198,☁,0x2601,0.14,0.411,0.449,0.308,0.654
199,🌻,0x1f33b,0.019,0.393,0.589,0.57,0.7849999999999999
200,😵,0x1f635,0.321,0.274,0.406,0.085,0.5425
201,📒,0x1f4d2,0.01,0.943,0.048,0.038,0.519
202,↿,0x21bf,0.01,0.333,0.657,0.648,0.8240000000000001
203,🐯,0x1f42f,0.049,0.427,0.524,0.476,0.738
204,👼,0x1f47c,0.176,0.314,0.51,0.333,0.6665
205,🍔,0x1f354,0.168,0.386,0.446,0.277,0.6385000000000001
206,😸,0x1f638,0.12,0.35,0.53,0.41,0.705
207,👶,0x1f476,0.141,0.283,0.576,0.434,0.717
208,↾,0x21be,0.01,0.333,0.657,0.646,0.823
209,💐,0x1f490,0.041,0.184,0.776,0.735,0.8674999999999999
210,🌊,0x1f30a,0.092,0.316,0.592,0.5,0.75
211,🍦,0x1f366,0.143,0.255,0.602,0.459,0.7295
212,🍓,0x1f353,0.041,0.247,0.711,0.67,0.835
213,👇,0x1f447,0.144,0.464,0.392,0.247,0.6234999999999999
214,💆,0x1f486,0.263,0.253,0.484,0.221,0.6105
215,🍴,0x1f374,0.053,0.358,0.589,0.537,0.7685
216,😧,0x1f627,0.389,0.284,0.326,-0.063,0.5315
217,🇸,0x1f1f8,0.096,0.298,0.606,0.511,0.7555000000000001
218,😮,0x1f62e,0.183,0.366,0.452,0.269,0.6345000000000001
219,▓,0x2593,0.032,0.925,0.043,0.011,0.5055
220,🚫,0x1f6ab,0.538,0.363,0.099,-0.44,0.72
221,😽,0x1f63d,0.132,0.165,0.703,0.571,0.7855
222,🌈,0x1f308,0.066,0.352,0.582,0.516,0.758
223,🙀,0x1f640,0.165,0.341,0.495,0.33,0.665
224,⚠,0x26a0,0.187,0.692,0.121,-0.066,0.533
225,🎮,0x1f3ae,0.101,0.371,0.528,0.427,0.7135
226,╯,0x256f,0.23,0.552,0.218,-0.011,0.5055
227,🍆,0x1f346,0.08,0.437,0.483,0.402,0.7010000000000001
228,🍰,0x1f370,0.161,0.23,0.609,0.448,0.724
229,✓,0x2713,0.115,0.483,0.402,0.287,0.6435
230,👐,0x1f450,0.395,0.233,0.372,-0.023,0.5115
231,🙇,0x1f647,0.291,0.279,0.43,0.14,0.5700000000000001
232,🍟,0x1f35f,0.174,0.349,0.477,0.302,0.651
233,🍌,0x1f34c,0.129,0.306,0.565,0.435,0.7175
234,💑,0x1f491,0.071,0.2,0.729,0.659,0.8295
235,👬,0x1f46c,0.353,0.353,0.294,-0.059,0.5295
236,🐣,0x1f423,0.155,0.214,0.631,0.476,0.738
237,🎃,0x1f383,0.083,0.238,0.679,0.595,0.7975
238,▬,0x25ac,0.012,0.512,0.476,0.464,0.732
239,￼,0xfffc,0.536,0.405,0.06,-0.476,0.738
240,😟,0x1f61f,0.349,0.229,0.422,0.072,0.536
241,🐾,0x1f43e,0.111,0.173,0.716,0.605,0.8025
242,🎓,0x1f393,0.1,0.238,0.663,0.563,0.7815
243,🏊,0x1f3ca,0.038,0.35,0.613,0.575,0.7875
244,🍫,0x1f36b,0.291,0.266,0.443,0.152,0.576
245,📷,0x1f4f7,0.101,0.367,0.532,0.43,0.715
246,👄,0x1f444,0.077,0.372,0.551,0.474,0.737
247,🌼,0x1f33c,0.026,0.169,0.805,0.779,0.8895
248,🚶,0x1f6b6,0.377,0.39,0.234,-0.143,0.5715
249,🐱,0x1f431,0.145,0.197,0.658,0.513,0.7565
250,║,0x2551,0.013,0.829,0.158,0.145,0.5725
251,🐸,0x1f438,0.333,0.413,0.253,-0.08,0.54
252,🇺,0x1f1fa,0.122,0.216,0.662,0.541,0.7705
253,👿,0x1f47f,0.658,0.219,0.123,-0.534,0.767
254,🚬,0x1f6ac,0.123,0.233,0.644,0.521,0.7605
255,✿,0x273f,0.041,0.534,0.425,0.384,0.692
256,📖,0x1f4d6,0.268,0.296,0.437,0.169,0.5845
257,🐒,0x1f412,0.028,0.423,0.549,0.521,0.7605
258,🌍,0x1f30d,0.085,0.239,0.676,0.592,0.796
259,┊,0x250a,0.014,0.014,0.972,0.958,0.979
260,🐥,0x1f425,0.071,0.271,0.657,0.586,0.7929999999999999
261,🌀,0x1f300,0.159,0.58,0.261,0.101,0.5505
262,🐼,0x1f43c,0.072,0.594,0.333,0.261,0.6305000000000001
263,🎥,0x1f3a5,0.13,0.449,0.42,0.29,0.645
264,💄,0x1f484,0.101,0.362,0.536,0.435,0.7175
265,💸,0x1f4b8,0.246,0.348,0.406,0.159,0.5795
