Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
316707,2020-03-20T11:19:10+00:00,Borrowed this from Jessica Olson on Linkedin. Very fitting for our team at #T2079. #worksomewhereyoulove #workwithpeoplethatmakeadifference. Thanks to all that have been spreading joy during this difficult time. @K2Virgilio @laurcountryman @tonypena @nikki_j1981 https://t.co/QXLiwWt7Tr,1240961073265684480,Chad Feltrin - Visual Merchandiser/Designer,1,2,8,0,Target,"['T2079', 'worksomewhereyoulove', 'workwithpeoplethatmakeadifference']",368,570,1,borrowed jessica olson linkedin fitting team t2079 worksomewhereyoulove workwithpeoplethatmakeadifference thanks spreading joy difficult time k2virgilio laurcountryman tonypena nikkij1981,borrowed thi from jessica olson on linkedin very fitt for our team at t2079 worksomewhereyoulov workwithpeoplethatmakeadifferenc thank to all that hav been spread joy dur thi difficult tim k2virgilio laurcountryman tonypena nikkij1981,[]
317600,2020-03-20T06:22:34+00:00,"@King_Drewlian I wrote six today, and it brought me a lot of joy too. I’ve got postcards from a bunch of countries— I’ll shoot some her way. 💛",1240886432815874048,Jenny Gustavson,1,0,0,0,"Evanston, IL",,381,837,1,kingdrewlian wrote six today brought lot joy ’ got postcards bunch countries— ’ shoot way 💛,kingdrewlian i wrot six today and it brought me a lot of joy too i ’ ve got postcard from a bunch of countries— i ’ ll shoot som her way 💛,['yellow_heart']
319189,2020-03-20T03:55:40+00:00,"@educadaxicana If you're on break, you should do some things that give you joy.",1240849464497143809,Nathan Ellstrand,0,0,0,0,"Chicago, IL",,3739,1883,1,educadaxicana youre break things give joy,educadaxicana if your on break you should do som thing that giv you joy,[]
320538,2020-03-20T02:37:53+00:00,"@skull_blonde @StardustChelsea @hayl_griffith @FANGORIA It’s such a joy to watch!
Gotta give props to @MutantTheater2 for introducing it to me what almost a year ago now?",1240829887381942272,Friendly Gayborhood Daddyman,1,0,3,0,"Chicago, IL",,3201,1607,1,skullblonde stardustchelsea haylgriffith fangoria ’ joy watchgotta give props mutanttheater2 introducing almost year ago,skullblond stardustchelsea haylgriffith fangoria it ’ s such a joy to watchgotta giv prop to mutanttheater2 for introduc it to me what almost a year ago now,[]
322362,2020-03-20T01:00:55+00:00,@MarcellaTeach My window lights are still up. They bring me joy!,1240805485802127368,Patty,0,0,1,0,"Chicago, IL",,305,837,1,marcellateach window lights still bring joy,marcellateach my window light are still up they br me joy,[]
322465,2020-03-20T00:55:13+00:00,"Coming soon...joy! 
 🌈 
We will all come out on the other side of this and until told otherwise, we are here to help you find your perfect gown. 
.
.
.
margskleebex we love how much you love! Thank you for trusting… https://t.co/5maIL5RGdo",1240804051081715713,Bri'Zan Couture,0,0,0,0,"Chicago, IL",,200,258,1,coming 🌈 come side told otherwise help find perfect gown margskleebex love much love thank trusting…,com 🌈 we will all com out on the other sid of thi and until told otherwis we are her to help you find your perfect gown margskleebex we lov how much you lov thank you for trusting…,['rainbow']
322571,2020-03-20T00:47:51+00:00,Today's moment of joy in a dark time. My 4-year old nephew is painting water colors to stay busy. His mom sent a picture of this beauty. https://t.co/55iMdiNL1H,1240802198482812928,Shannon Heffernan,0,0,23,0,"Chicago, IL",,6637,1919,1,todays moment joy dark time 4year old nephew painting water colors stay busy mom sent picture beauty,today moment of joy in a dark tim my 4year old nephew is paint water color to stay busy his mom sent a pictur of thi beauty,[]
323402,2020-03-21T23:58:49+00:00,@sammorril @JayJurden Hush. Let people find their joy where they can.,1241514631711133696,JPinThe773 🍁#BLM 🏳️‍🌈,0,0,0,0,"Chicago, IL",,4389,4989,1,sammorril jayjurden hush let people find joy,sammorril jayjurden hush let peopl find their joy wher they can,[]
325327,2020-03-21T22:06:36+00:00,"The amount of joy I just got seeing a dust bunny on the ground and knowing that meant I got to go get the vacuum out and take care of it was equivalent to the final play to send the @Cubs to the World Series in 2016 and I am not exaggerating.

That’s where I’m at. But how are you",1241486392515059720,Tommy Erbe,0,0,1,0,"Chicago, IL",,248,552,1,amount joy got seeing dust bunny ground knowing meant got go get vacuum take care equivalent final play send cubs world series 2016 exaggeratingthat ’ ’,the amount of joy i just got see a dust bunny on the ground and know that meant i got to go get the vacuum out and tak car of it was equivalent to the final play to send the cub to the world serie in 2016 and i am not exaggeratingthat ’ s wher i ’ m at but how are you,[]
327034,2020-03-21T20:17:57+00:00,"@videoChess it still fills me with such joy that we have, like, a playable, fully functional and probably mostly accurate version of the beta windy valley available for everyone to play and enjoy",1241459048840663040,name cannot be fox,0,0,1,0,"Lincolnwood, IL",,171,152,1,videochess still fills joy like playable fully functional probably mostly accurate version beta windy valley available everyone play enjoy,videoches it still fill me with such joy that we hav lik a play fully functional and probably mostly accurat version of the beta windy valley avail for everyon to play and enjoy,[]
327526,2020-03-21T19:49:06+00:00,"Because we all need a little more joy right now. @amylvshershoes is nervous that I’ll use Shelter in Place as an excuse to pull the banjo out again. Sadly, I’m not talented, so I understand her concern (might do it anyway). @SteveMartinToGo however sounds great! #BitOfJoy https://t.co/krE2eJ57pI",1241451788387201025,Andrew Ford,0,1,2,0,"Chicago, IL",['BitOfJoy'],87,274,1,need little joy right amylvshershoes nervous ’ use shelter place excuse pull banjo sadly ’ talented understand concern might anyway stevemartintogo however sounds great bitofjoy,becaus we all need a littl mor joy right now amylvshershoe is nervou that i ’ ll use shelter in plac as an excus to pull the banjo out again sadly i ’ m not talented so i understand her concern might do it anyway stevemartintogo however sound great bitofjoy,[]
